S.No.,Faculty Name,Course Code
1,"Aadya Jha","FC-0412"
2,"Aarthy Vaidyanathan","FC-0503"
3,"Abheek Barua","FC-0306"
4,"Abheek Barua","FC-0412"
5,"Abhishek Khetan","FC-0306"
6,"Abir Bazaz","FC-0701"
7,"Aditya Chauhan","FC-0601"
8,"Aditya Sen","FC-0503"
9,"Afthab Saleem","FC-0801"
10,"Ahilya Dang","FC-0701"
11,"Akshaya Pai","FC-0801"
12,"Alexander Phillips","FC-0601"
13,"Amar Farooqui","FC-0201"
14,"Ananya Karel","FC-0102"
15,"Anindita Chatterjee","FC-0201"
16,"Anubhav Nirankari","FC-0201"
17,"Aratrika Ghosh","FC-0601"
18,"Arindam Chakrabarti","FC-0503"
19,"Arpita Das","FC-0601"
20,"Arunava Sinha","FC-0601"
21,"Asmita Kabra","FC-0102"
22,"Ayush Malik","FC-0306"
23,"Bhavana Gudnavar","FC-0102"
24,"Chandan Dalawat","FC-0306"
25,"Chitralekha","FC-0412"
26,"Christa Linu","FC-0306"
27,"Debayan Gupta","FC-0306"
28,"Dersh Savla","FC-0102"
29,"Devapriya Roy","FC-0601"
30,"Dipyaman Ganguly","FC-0801"
31,"Esha Anand","FC-0412"
32,"Garima","FC-0412"
33,"Gaurav Garg","FC-0201"
34,"Gaurika Adukia","FC-0306"
35,"Gautam Basu","FC-0801"
36,"Ghazala Shahabuddin","FC-0102"
37,"Gurnoor Kaur","FC-0601"
38,"Indivar Kamtekar","FC-0201"
39,"Kabeer Kumar","FC-0801"
40,"Kasapuram Chandra","FC-0701"
41,"Kasturi Mitra","FC-0801"
42,"Kathleen Harbin","FC-0503"
43,"Kathryn Hardy","FC-0412"
44,"Kyra Chhetri","FC-0102"
45,"Madhav Nayar","FC-0201"
46,"Madiha Tariq","FC-0412"
47,"Mahika Sampat","FC-0503"
48,"Malvika Maheshwari","FC-0412"
49,"Manisha Kumari","FC-0601"
50,"Manvi Sharma","FC-0102"
51,"Megha Rai","FC-0801"
52,"Meher Kaur","FC-0412"
53,"Merve Tapinc","FC-0503"
54,"Mihir Bhattacharya","FC-0306"
55,"Mitul Baruah","FC-0102"
56,"Mukul Sharma","FC-0102"
57,"Nabajyoti Ghosh","FC-0201"
58,"Nandini Singh","FC-0503"
59,"Nayanjot Lahiri","FC-0201"
60,"Nitish Kashyap","FC-0412"
61,"Pallavi Raghavan","FC-0412"
62,"Pooja Hazra","FC-0201"
63,"Ravindran Sriramachandran","FC-0412"
64,"Renu Singh","FC-0201"
65,"Rita Kothari","FC-0701"
66,"Rudrangshu Mukherjee","FC-0601"
67,"Ryka Menon","FC-0801"
68,"S Kumar","FC-0601"
69,"Saikat Majumdar","FC-0701"
70,"Sakshi Nadkarni","FC-0701"
71,"Sanjana Gopalakrishnan","FC-0801"
72,"Sanjay Jain","FC-0801"
73,"Shraddha Karve","FC-0801"
74,"Shruti Sarkar","FC-0601"
75,"Simon Brown","FC-0102"
76,"Simran Tapaswi","FC-0503"
77,"Somak Raychaudhury","FC-0801"
78,"Sourav Pal","FC-0801"
79,"Sourav Saha","FC-0201"
80,"Sreelakshmi S","FC-0801"
81,"Suban","FC-0306"
82,"Subhasree Chakravarty","FC-0701"
83,"Sudipto Kundu","FC-0801"
84,"Sujan Sengupta","FC-0801"
85,"Tanika Sarkar","FC-0201"
86,"Tanisha Agarwal","FC-0503"
87,"Tanisha Singh","FC-0801"
88,"Toorni Biswas","FC-0201"
89,"V V Narayan","FC-0701"
90,"Ved Kushalappamc","FC-0306"
91,"Vidya Avasare","FC-0801"
92,"Vikram Vyas","FC-0801"
